,지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
0,90,1968-01-01,,속초,강원도 고성군토성면 봉포5길9 속초자동기상관측소 ,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10.0,1.4
1,93,2016-10-01,,북춘천,강원도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10.0,1.4
2,95,1988-01-01,,철원,강원도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13.0,1.5
3,98,1998-02-01,,동두천,경기도 동두천시방죽로 16-47동두천서비스센터  ,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10.0,1.0
4,99,2013-10-22,,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10.0,1.0
5,99,2001-12-07,2013-10-22,문산,경기도 파주시문산읍 마정로46-29(파주기상대)  ,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10.0,0.5
6,100,2006-11-07,,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10.0,1.4
7,100,1971-07-15,2006-11-06,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,,37.6869,128.7587,842.52,843.96,1.5,10.0,1.6
8,101,1966-01-01,,춘천,강원도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10.0,1.4
9,102,2018-05-01,,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.974,124.7124,36.0,37.2,1.8,9.0,1.2
10,102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146.0,147.2,1.8,9.0,1.2
11,104,2008-07-28,,북강릉,강원도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10.0,1.4
12,105,1911-10-03,,강릉,강원도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10.0,0.5
13,106,1992-05-01,,동해,강원도 동해시중앙로 31동해자동기상관측소  ,동해기상대(106),37.5071,129.1243,40.46,41.66,1.7,10.0,1.4
14,108,2010-08-16,,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.67,86.67,1.5,10.0,0.5
15,108,1907-10-01,2010-08-15,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.5,86.5,1.5,10.0,0.6
16,112,2013-10-22,,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10.0,1.2
17,112,1904-08-29,2013-10-22,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10.0,0.6
18,114,1971-09-06,,원주,강원도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14.0,1.4
19,115,1938-08-10,,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,221.14,223.7,1.6,10.0,1.3
20,116,1984-01-01,1990-12-31,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,627.96,1.4,3.9,1.1
21,119,2019-07-24,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1
22,119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
23,121,1994-12-01,,영월,강원도 영월군영월읍 영월로 1894-25 영월자동기상관측소,영월기상대(121),37.1813,128.4574,240.54,242.05,1.7,10.0,1.4
24,127,1972-01-01,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10.0,1.0
25,129,1968-01-01,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
26,130,2020-12-04,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,48.98,50.18,1.75,10.0,1.3
27,130,1971-01-12,2020-12-04,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10.0,1.3
28,131,1967-01-01,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10.0,0.8
29,133,1969-01-01,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,67.79,68.49,1.4,23.7,1.0
30,135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10.0,1.1
31,136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10.0,1.3
32,136,1973-01-01,1978-05-01,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.4,1.5,10.0,0.6
33,137,2002-01-01,,상주,경상북도 상주시남산2길 322상주지역기상서비스센터  ,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10.0,1.4
34,138,1943-01-01,,포항,경상북도 포항시남구 송도로70 포항관측소 ,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10.0,1.2
35,140,2003-12-31,,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,전주기상대(146),36.0053,126.7614,27.85,24.6,1.7,10.0,1.0
36,140,1968-01-01,2003-12-01,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,,35.993,126.7057,25.57,30.74,1.5,18.0,0.6
37,143,2017-08-25,,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.878,128.653,54.27,55.52,1.8,10.0,0.6
38,143,1907-01-31,2017-08-25,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.8282,128.6522,53.4,54.9,1.8,10.0,0.6
39,146,2015-07-01,,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8409,127.1172,60.44,62.9,1.6,10.0,1.4
40,146,1918-06-23,2015-07-01,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,62.4,1.8,18.4,0.6
41,152,2017-08-25,,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5824,129.3347,81.14,83.2,1.8,10.0,1.3
42,152,2016-04-01,2017-08-25,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5826,129.3344,82.0,83.2,1.8,10.0,0.6
43,152,1932-01-06,2016-04-01,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5601,129.3203,34.57,35.8,1.5,12.0,0.5
44,155,2010-07-22,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5728,34.97,39.1,1.7,10.0,1.3
45,155,2004-12-16,2010-07-21,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1671,128.5751,36.8,37.9,1.7,10.0,0.5
46,155,1985-07-01,2004-12-15,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1903,128.5652,11.25,4.9,1.5,17.6,0.6
47,156,1939-05-01,,광주,광주광역시 북구 서암대로 71광주지방기상청 (운암동),광주지방기상청(156),35.1729,126.8916,70.28,73.9,1.7,17.5,0.8
48,159,1904-04-09,,부산,부산광역시 중구복병산길 32번길 5-11 부산기상관측소 (대청동1가),부산지방기상청(159),35.1047,129.032,69.56,70.9,1.5,18.0,1.3
49,162,1968-01-01,,통영,경상남도 통영시 망일1길 67통영자동기상관측소(정량동),부산지방기상청(159),34.8454,128.4356,31.24,33.2,1.5,18.0,1.3
50,164,1993-01-01,2000-07-31,무안,,,35.0938,126.2851,24.49,25.03,1.5,12.6,0.6
51,165,2019-10-31,,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8173,126.3815,44.7,39.2,1.5,14.5,1.0
52,165,1904-04-08,2019-10-31,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8169,126.3812,38.0,39.2,1.5,14.5,1.0
53,168,1942-03-01,,여수,전라남도 여수시고소동 304  ,여수기상대(168),34.7393,127.7406,65.93,66.1,1.5,13.0,0.6
54,169,1997-01-01,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.4511,75.12,78.0,1.5,15.5,0.6
55,170,1971-01-31,,완도,전라남도 완도군군외면 청해진로795-3 (불목리 26),목포기상대(165),34.3959,126.7018,35.37,36.7,1.5,10.0,0.8
56,172,2010-12-01,,고창,전라북도 고창군대산면 매산리399-13  ,전주기상대(146),35.3482,126.599,52.42,53.5,1.8,10.0,1.7
57,174,2011-04-01,,순천,전라남도 순천시승주읍 평중리230번지 순천지역기상서비스센터 ,광주지방기상청(156),35.0204,127.3694,165.0,166.5,1.5,10.0,0.8
58,175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,479.76,1.5,10.0,0.8
59,176,2013-10-10,2015-06-11,대구(기),,대구기상대(176),35.8782,128.6522,49.0,50.2,1.8,10.0,0.6
60,177,2017-10-31,,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,,36.6576,126.6877,27.74,28.7,1.5,10.0,1.5
61,177,2015-11-03,2017-10-31,홍성(예),충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,홍성기상대(서산 129),36.6575,126.6877,20.0,,,10.0,
62,181,2022-01-21,,서청주,,청주기상대(131),36.6397,127.3969,32.0,32.0,1.5,10.0,0.5
63,184,1923-05-01,,제주,제주특별자치도 제주시만덕로 6길 32 제주지방기상청,제주지방기상청(184),33.5141,126.5297,20.79,21.99,1.7,15.0,1.5
64,185,1988-01-01,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,71.39,72.49,1.7,10.0,1.5
65,187,2007-03-27,2008-09-04,성산,,,33.3868,126.8804,18.0,20.48,1.8,10.2,0.6
66,188,2008-09-04,,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,제주지방기상청(184),33.3868,126.8802,20.34,21.74,1.7,10.0,1.5
67,188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.1,1.5,10.0,0.6
68,189,2010-11-09,,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,제주지방기상청(184),33.2462,126.5653,51.86,53.16,1.7,10.0,1.5
69,189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.6,1.8,10.0,0.6
70,192,2005-11-23,,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),창원기상대(155),35.1638,128.04,29.35,31.6,1.8,10.0,1.3
71,192,1969-03-01,2005-11-23,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),,35.2084,128.1191,21.32,22.64,1.5,10.0,0.6
72,201,1972-01-11,,강화,인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ,인천기상대(112),37.7074,126.4463,47.84,49.24,1.6,10.0,0.6
73,202,1972-01-11,,양평,경기도 양평군 양평읍 시민로20번길 14-1양평자동기상관측소20번길 43844 양평자동기상관측소,수도권기상청(119),37.4886,127.4945,47.26,48.76,1.9,10.0,0.6
74,203,1972-01-11,,이천,경기도 이천시부발읍 대산로546번길 8 이천기상서비스센터,수도권기상청(119),37.264,127.4842,80.09,81.59,1.8,10.0,0.6
75,211,1971-12-01,,인제,강원도 인제군인제읍 비봉로44번길 93 인제자동기상관측소,인제자동기상관측소(211),38.0599,128.1671,201.78,202.78,1.5,10.0,0.5
76,212,1971-09-27,,홍천,강원도 홍천군홍천읍 연봉동로27 홍천자동기상관측소 ,춘천기상대(101),37.6836,127.8804,140.2,141.2,1.6,13.0,0.5
77,214,1971-02-28,1996-01-01,삼척,,,37.3667,129.2167,3.9,5.4,1.5,10.0,0.6
78,216,1985-08-01,,태백,강원도 태백시문예1길 45태백자동기상관측소  ,태백자동기상관측소(216),37.1704,128.9893,714.45,715.25,1.6,16.0,0.6
79,217,2010-08-06,,정선군,강원도 정선군정선읍 북실리773-7 정선공동기상관측소 ,,37.3815,128.6459,307.58,309.0,1.8,10.0,0.6
80,221,1972-01-11,,제천,충청북도 제천시대학로 123(신월동 348번지) 제천기상관측소,청주기상대(131),37.1593,128.1943,264.62,265.39,1.5,10.0,0.5
81,226,1972-01-09,,보은,충청북도 보은군보은읍 성주길57 보은자동기상관측소 ,청주기상대(131),36.4876,127.7342,171.31,172.71,1.5,10.0,0.5
82,232,2016-04-01,,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7622,127.2928,84.78,83.0,1.8,10.0,1.2
83,232,1972-01-08,2016-04-01,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.6,1.8,9.5,0.6
84,235,1972-01-24,,보령,충청남도 보령시대해로 450보령지역기상서비스센터  ,대전지방기상청(133),36.3272,126.5574,9.98,17.0,1.6,10.0,1.1
85,236,1972-01-09,,부여,충청남도 부여군부여읍 금성로63 부여기상관측소 ,대전지방기상청(133),36.2724,126.9208,13.42,14.88,1.7,10.0,0.5
86,238,1972-01-09,,금산,충청남도 금산군금산읍 비단로410-8 금산자동기상관측소 ,대전지방기상청(133),36.1056,127.4818,172.69,173.99,1.5,10.0,0.5
87,239,2020-04-01,,세종,세종특별자치시 새롬동산 61  ,대전지방기상청(133),36.4852,127.2444,89.5,95.0,1.6,10.0,1.0
88,239,2019-05-31,2020-04-01,세종(예),세종특별자치시 새롬동산 61  ,대전지방기상청(133),36.4864,127.235,94.0,95.0,1.6,10.0,1.0
89,243,1972-03-01,,부안,전라북도 부안군행안면 역리315-1번지 부안기상관측소 ,전주기상대(146),35.7296,126.7166,12.2,13.5,1.8,10.0,0.6
90,244,1970-06-02,,임실,전라북도 임실군임실읍 운수로58임실자동기상관측소  ,전주기상대(146),35.612,127.2856,247.04,248.44,1.8,10.0,0.6
91,245,2016-11-01,,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5634,126.839,68.7,70.97,1.9,10.0,1.0
92,245,1970-01-05,2016-11-01,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5632,126.8661,44.6,46.1,1.7,10.0,0.6
93,247,2017-08-25,,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4213,127.3965,133.49,91.8,1.7,10.0,0.7
94,247,2013-08-01,2017-08-25,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4023,127.3967,127.48,91.8,1.7,10.0,0.7
95,247,1972-01-04,2013-08-01,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,남원기상대(247),35.4054,127.333,90.29,94.7,1.8,10.0,0.6
96,248,1988-01-01,,장수,전라북도 장수군장수읍 선창리373-3 (장수자동관측소) ,전주기상대(146),35.657,127.5203,406.87,408.0,1.6,10.0,0.5
97,251,2010-12-01,,고창군,전라북도 고창군중거리당산로 74-12 상하수도사업소,전주기상대(146),35.4266,126.697,58.84,55.5,1.7,10.0,0.6
98,251,2008-11-28,2010-11-30,고창,전라북도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4266,126.697,54.0,55.3,1.8,10.0,0.7
99,251,2007-11-01,2008-11-28,고창,전라북도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4251,126.699,54.02,55.32,1.5,10.0,0.5
100,252,2007-11-26,,영광군,전라남도 영광군복호로 7영광군 현장방사능방재지휘센터 ,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.5,13.0,0.6
101,253,2008-02-13,,김해시,경상남도 김해시부원동 121번지  ,부산지방기상청(159),35.2298,128.8908,54.59,54.6,1.7,10.0,0.5
102,254,2008-07-16,,순창군,전라북도 순창군순창읍 교성리258 순창군공설운동장 ,전주기상대(146),35.3713,127.1286,129.38,128.4,1.6,10.0,0.6
103,255,2010-07-22,,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,창원기상대(155),35.2266,128.6726,50.95,50.3,1.8,10.0,0.7
104,255,2008-12-26,2010-07-21,창원시,경상남도 창원시성산구 외동반림로93 외동배수지 ,,35.2264,128.6725,46.77,48.12,1.8,10.0,0.6
105,256,2011-04-01,2012-07-02,주암,,순천기상대(174),35.075,127.2391,74.63,75.4,1.5,14.0,0.6
106,256,1972-01-21,2011-04-01,순천,,순천기상대(미사용 256),35.075,127.2391,74.4,75.4,1.5,14.0,0.6
107,257,2008-12-26,,양산시,경상남도 양산시동면 강변로54 수질정화공원 ,울산기상대(152),35.3074,129.0201,6.29,16.1,1.8,10.0,0.6
108,258,2010-03-11,,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7634,127.2123,1.41,4.3,1.5,10.0,0.6
109,258,2010-02-08,2010-03-10,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7633,127.2123,2.8,,,,
110,259,2021-02-25,,강진군,전라남도 강진군 강진읍 종합운동장길 58-8종합운동장 내,목포기상대(165),34.6446,126.7841,16.0,20.0,1.5,10.0,0.6
111,259,2009-11-10,2021-02-25,강진군,전라남도 강진군 강진읍 종합운동장길 58-8종합운동장 내,목포기상대(165),34.6289,126.7672,9.95,13.9,1.5,10.0,0.6
112,260,1972-01-21,,장흥,전라남도 장흥군장흥읍 축내리271-11  ,목포기상대(165),34.6889,126.9195,43.99,46.3,1.5,10.0,0.8
113,261,1971-02-03,,해남,전라남도 해남군해남읍 남천리175-1 해남자동기상관측소 ,목포기상대(165),34.5538,126.5691,16.36,17.91,1.5,10.0,0.8
114,262,2017-08-25,,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6183,127.2757,51.91,53.31,1.5,10.0,0.8
115,262,1972-01-22,2017-08-25,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6182,127.2757,53.12,54.6,1.5,10.0,0.6
116,263,2010-06-21,,의령군,경상남도 의령군의합대로 44-54의령종합환경관리사업소  ,창원기상대(155),35.3226,128.2881,14.1,14.9,2.0,10.0,0.6
117,264,2010-06-21,,함양군,경상남도 함양군함양읍 용평리915-202  ,창원기상대(155),35.5114,127.7454,152.07,152.5,1.8,10.0,0.6
118,265,1971-07-15,2007-03-27,성산포,,,33.3868,126.8804,18.62,20.48,1.8,10.2,0.6
119,266,2017-08-25,,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.9434,127.6914,88.21,87.9,1.7,10.0,0.6
120,266,2011-01-01,2017-08-25,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.943,127.691,80.9,82.4,1.7,10.0,0.6
121,268,2014-05-09,,진도군,전라남도 진도군진도읍 남동리291  ,목포기상대(165),34.473,126.2585,9.82,6.9,1.7,10.0,0.6
122,271,2020-12-04,,봉화,경상북도 봉화군춘양면 서동길59 봉화자동기상관측소 ,안동기상대(136),36.9436,128.9145,324.67,326.22,1.9,10.0,0.6
123,271,1988-01-01,2020-12-04,봉화,경상북도 봉화군춘양면 서동길59 봉화자동기상관측소 ,대구(구 143),36.9436,128.9145,324.67,326.22,1.9,10.0,0.6
124,272,1972-11-28,,영주,경상북도 영주시풍기읍 남원로178(성내리 240-55) 영주자동기상관측소,안동기상대(136),36.8718,128.5169,211.32,212.78,1.91,10.0,0.58
125,273,2020-12-04,,문경,경상북도 문경시유곡불정로 223문경자동기상관측소  ,안동기상대(136),36.6273,128.1488,173.01,174.51,1.8,10.0,0.6
126,273,1973-01-01,2020-12-04,문경,경상북도 문경시유곡불정로 223문경자동기상관측소  ,대구(구 143),36.6273,128.1488,173.01,174.51,1.8,10.0,0.6
127,276,2020-12-04,,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,대구(구 143),36.4351,129.0401,208.65,210.2,1.75,10.0,0.5
128,276,2010-09-01,2020-12-04,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,안동기상대(136),36.4351,129.0401,208.65,210.2,1.75,10.0,0.5
129,277,1972-01-03,,영덕,경상북도 영덕군영해면 318만세길90-19 영덕자동기상관측소 ,포항기상대(138),36.5334,129.4093,40.71,42.01,1.7,10.0,0.6
130,278,1973-01-01,,의성,경상북도 의성군의성읍 홍술로89-14 의성자동기상관측소 ,대구(구 143),36.3561,128.6886,81.44,82.94,1.7,10.0,0.6
131,279,1973-01-01,,구미,경상북도 구미시원남로2길 16구미지역기상서비스센터  ,대구(구 143),36.1306,128.3206,49.17,50.67,1.7,10.0,1.4
132,281,1972-01-21,,영천,경상북도 영천시망정3길 35영천기상관측소  ,대구(구 143),35.9774,128.9514,96.12,97.62,1.7,10.0,0.5
133,283,2010-08-06,,경주시,경상북도 경주시서라벌대로336-20 탑동정수장  ,포항기상대(138),35.8174,129.2009,40.13,41.63,1.67,10.0,0.59
134,284,2011-03-04,,거창,경상남도 거창군 거창읍 수남로 2117거창자동기상관측소,울산기상대(152),35.6674,127.9099,228.45,227.3,1.5,10.0,1.3
135,284,1972-01-24,2011-03-04,거창,경상남도 거창군 거창읍 수남로 2117거창자동기상관측소,거창기상대(284),35.6712,127.911,221.4,222.6,1.5,10.0,0.5
136,285,1973-01-01,,합천,경상남도 합천군합천읍 동서로164번 합천자동기상관측소 ,울산기상대(152),35.5651,128.1699,26.72,33.2,1.5,10.0,0.5
137,288,1973-01-01,,밀양,경상남도 밀양시점필재로 5밀양자동기상관측소  ,울산기상대(152),35.4915,128.7441,8.31,12.5,2.0,10.0,1.3
138,289,1972-03-30,,산청,경상남도 산청군 산청읍 꽃봉산로133번길 3산청자동기상관측소,창원기상대(155),35.413,127.8791,138.22,138.8,1.6,10.0,0.6
139,294,1972-01-24,,거제,경상남도 거제시 장평2로2길 47거제자동기상관측소(장평동),부산지방기상청(159),34.8882,128.6046,44.83,46.7,1.7,10.0,0.6
140,295,1972-01-24,,남해,경상남도 남해군이동면 남해대로2423 남해자동기상관측소 ,부산지방기상청(159),34.8166,127.9264,45.71,47.01,1.8,10.0,0.8
